"Município;""0 a 4 anos"";""5 a 9 anos"";""10 a 14 anos"";""15 a 19 anos"";""20 a 29 anos"";""30 a 39 anos"";""40 a 49 anos"";""50 a 59 anos"";""60 a 69 anos"";""70 a 79 anos"";""80 anos e mais"";""Total"""
110001 Alta Floresta D'Oeste;2039;2170;2014;2387;4550;3924;3417;2703;1392;800;181;25577
110037 Alto Alegre dos Parecis;1048;1339;1265;1498;2412;2108;1937;1249;702;296;85;13939
110040 Alto Paraíso;1543;1799;2174;2051;3260;3187;2811;1884;966;424;110;20209
110034 Alvorada D'Oeste;1292;1416;1387;1706;2701;2688;2303;1834;1000;556;179;17062
110002 Ariquemes;7551;8876;10300;9705;20300;17204;14035;8929;4783;2039;674;104396
110045 Buritis;3125;3732;3959;3702;6591;6558;4576;3109;1701;612;172;37837
110003 Cabixi;573;497;501;525;885;950;933;779;420;237;57;6357
110060 Cacaulândia;489;576;648;612;991;1012;848;589;368;193;41;6367
110004 Cacoal;6576;6610;7327;7521;16494;14324;11895;8697;4601;2314;868;87227
110070 Campo Novo de Rondônia;1111;1436;1518;1371;2325;2284;1914;1330;626;246;56;14217
110080 Candeias do Jamari;2177;2332;2564;2314;4254;3977;2859;2008;1173;347;146;24151
110090 Castanheiras;221;247;289;353;589;531;553;364;301;130;41;3619
110005 Cerejeiras;1399;1390;1422;1504;3244;2751;2522;1886;1100;582;185;17985
110092 Chupinguaia;971;952;994;1030;1821;1763;1275;785;367;141;28;10127
110006 Colorado do Oeste;1501;1443;1408;1493;3111;3069;2474;2064;1270;733;252;18818
110007 Corumbiara;575;693;713;821;1554;1482;1322;896;440;262;81;8839
110008 Costa Marques;1600;1658;1938;1810;2831;2809;1791;1234;652;245;82;16650
110094 Cujubim;1855;2237;2318;2249;3487;3721;2539;1543;786;205;33;20973
110009 Espigão D'Oeste;2785;2659;3003;2814;5688;5497;4157;3096;1687;740;256;32382
110100 Governador Jorge Teixeira;603;856;1000;960;1672;1587;1415;1011;608;305;107;10124
110010 Guajará-Mirim;4496;4945;5001;4419;8051;7093;5532;3503;2148;986;456;46630
110110 Itapuã do Oeste;1091;903;963;999;1658;1527;1189;915;506;186;56;9993
110011 Jaru;3988;4751;5260;4961;9931;9870;7074;4962;2808;1588;546;55739
110012 Ji-Paraná;10478;11126;11064;10903;24447;21977;17031;12620;6646;2999;1127;130418
110013 Machadinho D'Oeste;3374;3635;3829;3516;6165;6217;4519;3296;1785;667;162;37165
110120 Ministro Andreazza;922;933;996;1048;1909;1542;1567;912;580;320;96;10825
110130 Mirante da Serra;684;1114;1214;1227;2058;2015;1508;1196;719;471;153;12359
110140 Monte Negro;1176;1441;1697;1646;2460;2606;2005;1427;879;435;103;15875
110014 Nova Brasilândia D'Oeste;1461;1671;1768;2287;3727;3608;2927;2140;1261;584;160;21594
110033 Nova Mamoré;2438;2961;3192;2623;4356;4747;3371;2179;1157;419;151;27594
110143 Nova União;610;631;666;918;1297;1211;1054;748;426;198;66;7825
110050 Novo Horizonte do Oeste;767;790;802;964;1576;1617;1475;1166;652;364;98;10271
110015 Ouro Preto do Oeste;2896;3200;3550;3388;7185;6569;5298;3979;2232;1197;429;39923
110145 Parecis;527;542;531;498;1056;878;729;525;276;111;27;5700
110018 Pimenta Bueno;2909;3165;3452;3228;7225;6233;4806;3604;1791;782;320;37515
110146 Pimenteiras do Oeste;276;221;215;219;359;397;322;221;124;46;23;2423
110020 Porto Velho;41090;40978;46272;42604;104362;90804;62457;44244;20231;6948;2757;502747
110025 Presidente Médici;1438;1877;1844;1968;3562;3503;3074;2618;1512;826;335;22557
110147 Primavera de Rondônia;214;205;360;366;499;569;489;381;238;123;54;3498
110026 Rio Crespo;309;328;361;334;552;583;524;386;213;120;35;3745
110028 Rolim de Moura;4021;4714;4744;4705;11052;9390;7589;5212;2842;1459;513;56241
110029 Santa Luzia D'Oeste;698;623;620;732;1402;1317;1254;990;478;301;114;8529
110148 São Felipe D'Oeste;397;451;500;557;844;1082;859;684;444;219;66;6103
110149 São Francisco do Guaporé;1643;1685;1918;1937;3404;3053;2405;1577;946;339;92;18999
110032 São Miguel do Guaporé;1871;2080;2231;2444;4309;3981;3039;2185;1130;551;113;23934
110150 Seringueiras;701;1121;1254;1355;2224;1975;1731;1198;604;337;80;12580
110155 Teixeirópolis;382;346;420;475;837;728;700;526;314;194;79;5001
110160 Theobroma;842;970;1097;1147;1596;1967;1458;1129;710;342;86;11344
110170 Urupá;891;1090;1222;1191;2184;2277;1604;1352;962;399;122;13294
110175 Vale do Anari;784;977;1065;1056;1672;1820;1401;1116;621;270;67;10849
110180 Vale do Paraíso;585;591;695;863;1297;1267;1173;896;520;259;87;8233
110030 Vilhena;7778;7860;8224;7593;17952;15714;12033;8317;4124;1727;481;91803
120001 Acrelândia;1392;1379;1496;1520;2293;2123;1590;1051;665;283;75;13867
120005 Assis Brasil;978;879;661;629;1151;938;654;453;224;111;57;6735
120010 Brasiléia;2167;2535;2571;2337;4341;3597;2791;1691;1038;575;204;23847
120013 Bujari;903;967;1096;960;1511;1464;993;736;485;134;87;9336
120017 Capixaba;1027;1104;1268;1256;1673;1359;1202;868;507;176;60;10500
120020 Cruzeiro do Sul;8654;9419;10096;9070;14296;12487;7487;4835;2758;1670;748;81520
120025 Epitaciolândia;1674;1767;1697;1695;3074;2424;1945;1217;709;384;150;16736
120030 Feijó;4868;4487;4035;3463;5492;3806;2814;1649;992;533;242;32381
120032 Jordão;1323;1226;1099;847;1267;854;476;239;88;53;34;7506
120033 Mâncio Lima;2315;2124;2075;1847;2880;2509;1413;1026;571;295;117;17172
120034 Manoel Urbano;1123;1079;1081;978;1389;1257;730;499;263;178;61;8638
120035 Marechal Thaumaturgo;2899;2711;2259;2078;2854;1892;1067;617;313;166;40;16896
120038 Plácido de Castro;1873;2058;2080;1852;2814;2435;2015;1448;940;475;167;18157
120080 Porto Acre;1547;1834;1953;1805;2714;2335;1901;1245;859;434;130;16757
120039 Porto Walter;1879;1720;1643;1198;1564;1282;732;414;183;97;49;10761
120040 Rio Branco;34317;35226;36790;36397;70137;61927;42994;27718;15145;6875;3023;370549
120042 Rodrigues Alves;2023;2453;2480;1984;2726;2379;1392;802;473;198;67;16977
120043 Santa Rosa do Purus;959;973;730;536;1167;717;340;227;121;28;11;5809
120050 Sena Madureira;4249;4647;4829;4570;7821;6550;3864;2583;1489;786;362;41750
120045 Senador Guiomard;2045;2279;2366;2123;3545;3075;2359;1673;982;535;202;21184
120060 Tarauacá;5848;5742;4971;4262;6311;4693;2996;1913;1132;664;287;38819
120070 Xapuri;1784;1884;1882;1891;3038;2516;1886;1267;838;431;189;17606
130002 Alvarães;2188;2463;2036;1687;2672;1879;1165;749;407;223;75;15544
130006 Amaturá;1719;1145;1192;1227;2156;1472;898;582;267;135;57;10850
130008 Anamã;1130;1497;1608;1363;2386;1826;1190;715;324;217;64;12320
130010 Anori;2208;2270;2398;2194;3585;2881;1830;989;489;327;121;19292
130014 Apuí;1636;1728;2113;1936;4487;3583;2318;1660;876;253;62;20652
130020 Atalaia do Norte;2530;2363;1913;2010;4087;2293;1484;786;400;202;66;18134
130030 Autazes;4511;4712;4574;3935;6134;4668;3547;2474;1446;708;321;37030
130040 Barcelos;2885;2590;2822;3119;6635;3549;2398;1883;1043;409;100;27433
130050 Barreirinha;4112;4490;4083;3475;4848;3602;2436;1738;953;598;325;30660
130060 Benjamin Constant;6087;5650;4668;4184;7198;4535;3141;2082;1063;624;252;39484
130063 Beruri;2310;2765;2597;2025;2912;2064;1469;1029;570;304;124;18169
130068 Boa Vista do Ramos;1951;2354;2396;2106;3205;2224;1459;1054;516;267;131;17663
130070 Boca do Acre;3476;3812;3920;3677;5853;4830;3423;2212;1303;708;283;33497
130080 Borba;5009;5036;4368;4451;7288;5320;3258;2190;1245;700;424;39289
130083 Caapiranga;1472;1436;1533;1444;2228;1763;1160;692;439;190;62;12419
130090 Canutama;1629;1641;1538;1506;2751;2471;1564;1117;594;251;66;15128
130100 Carauari;3297;3389;3694;3357;5014;3616;2455;1532;895;451;178;27878
130110 Careiro;3907;4141;4275;3846;6079;5539;3882;2510;1366;672;216;36433
130115 Careiro da Várzea;2689;2829;2971;2909;4762;3935;3617;2217;1240;612;201;27982
130120 Coari;9270;9383;9644;9647;17671;11773;6903;4427;2526;1338;498;83080
130130 Codajás;2120;3368;3395;3000;5454;4066;2477;1495;831;394;174;26774
130140 Eirunepé;4708;4804;3860;3689;6135;4465;2693;1938;1011;520;204;34027
130150 Envira;2508;2374;2454;2283;3376;2606;1462;856;435;323;106;18783
130160 Fonte Boa;3328;2785;2234;2140;3932;2443;1596;1031;675;409;169;20742
130165 Guajará;1729;2018;2150;2040;2972;1904;1481;822;427;194;85;15822
130170 Humaitá;4354;5185;6280;6125;10097;7476;5205;3484;1920;881;298;51305
130180 Ipixuna;3849;4028;3662;2528;4616;3730;2116;1244;704;286;96;26859
130185 Iranduba;4799;5580;5610;4905;7339;6506;4709;3278;1942;1008;311;45987
130190 Itacoatiara;10313;11041;11132;10340;16281;14229;9848;6901;4066;2137;831;97119
130195 Itamarati;1059;1026;1032;922;1550;1198;672;386;226;75;34;8180
130200 Itapiranga;895;1082;1020;975;1593;1233;836;665;379;196;76;8950
130210 Japurá;972;603;488;596;853;648;463;275;84;87;52;5121
130220 Juruá;1498;1831;1884;1559;2514;1759;1028;626;290;147;62;13198
130230 Jutaí;2941;2598;1820;1661;2815;1896;1210;744;516;294;88;16583
130240 Lábrea;4667;5435;5388;4565;8046;6086;3808;2797;1483;725;267;43267
130250 Manacapuru;9713;10821;11590;10542;16924;13320;9012;6084;3370;2048;749;94173
130255 Manaquiri;3208;3575;3613;2971;5060;3821;2747;1848;1000;426;146;28415
130260 Manaus;181185;182612;193082;203250;387558;362377;252908;165050;83376;33242;13072;2057712
130270 Manicoré;5918;6212;6051;5987;10070;7491;4836;3332;1837;936;384;53054
130280 Maraã;2596;2779;2359;2030;3551;2444;1265;765;378;188;73;18428
130290 Maués;8079;8044;7393;6180;10333;7565;4700;3905;2017;1196;571;59983
130300 Nhamundá;1991;2533;2270;2214;3541;2913;1971;1507;730;490;197;20357
130310 Nova Olinda do Norte;3724;4108;4021;4076;6979;4711;3151;2336;1068;559;423;35156
130320 Novo Airão;2238;2152;1809;1722;3313;2424;1676;1287;620;303;126;17670
130330 Novo Aripuanã;2019;2762;2835;2657;4778;3695;2455;1629;828;495;162;24315
130340 Parintins;11882;13212;13592;12670;19419;15087;10157;7590;4398;2550;1020;111577
130350 Pauini;2590;2657;2655;2072;3557;2653;1337;989;529;255;80;19374
130353 Presidente Figueiredo;3471;3375;3739;3794;5670;4755;3489;2616;1430;373;100;32812
130356 Rio Preto da Eva;2922;3106;3298;3203;6082;4580;3382;2258;1150;435;114;30530
130360 Santa Isabel do Rio Negro;4205;3367;2794;2242;3786;2243;1793;900;608;374;93;22405
130370 Santo Antônio do Içá;3870;3361;2565;2358;4463;3247;1655;1015;647;306;199;23686
130380 São Gabriel da Cachoeira;5603;5410;5134;4709;7476;5403;3957;2512;1743;802;344;43093
130390 São Paulo de Olivença;4903;4835;4339;3988;6869;4556;3280;1837;1138;580;217;36542
130395 São Sebastião do Uatumã;1263;1648;1703;1522;2318;1762;1187;728;445;146;61;12783
130400 Silves;1211;1182;973;1027;1406;1148;835;710;352;172;65;9081
130406 Tabatinga;7560;8426;7258;6223;11506;8047;5388;3580;1850;853;336;61027
130410 Tapauá;2000;2386;1899;1980;3512;2605;1511;1144;676;342;98;18153
130420 Tefé;7297;8427;7895;6572;11093;8773;5322;3375;2107;1117;463;62441
130423 Tonantins;2939;2362;2096;2076;3723;2215;1511;729;460;278;88;18477
130426 Uarini;1858;2028;1590;1320;2325;1788;1001;616;376;143;75;13120
130430 Urucará;1996;2371;1983;1881;2667;2124;1705;1174;723;382;160;17166
130440 Urucurituba;2465;2529;2438;2278;4191;2744;1783;1401;729;382;201;21141
140005 Alto Alegre;2650;2762;2226;1219;2234;1687;1307;1067;642;307;76;16177
140002 Amajari;1767;1726;1407;1067;1737;1106;959;710;353;123;51;11006
140010 Boa Vista;28713;30427;32928;33483;64446;53294;36611;23640;11590;4099;1485;320716
140015 Bonfim;1714;1602;1412;1354;1834;1219;1101;723;510;199;65;11733
140017 Cantá;1665;1883;2111;1787;2285;1872;1827;1463;913;285;59;16150
140020 Caracaraí;1854;2219;2607;2405;3477;2811;2061;1596;837;326;72;20265
140023 Caroebe;968;1081;988;878;1578;1404;968;744;373;139;44;9165
140028 Iracema;1081;1084;1214;1062;1779;1512;1163;859;392;144;31;10321
140030 Mucajaí;1488;1848;1914;1640;2788;2437;1796;1326;761;311;73;16382
140040 Normandia;1806;1646;1449;1149;1569;969;651;411;307;133;56;10146
140045 Pacaraima;1705;1629;1586;1340;1862;1452;1072;712;385;118;50;11911
140047 Rorainópolis;2088;2828;3313;3090;5518;4142;2688;2016;1164;345;96;27288
140050 São João da Baliza;735;778;921;800;1383;1212;772;483;301;110;22;7517
140060 São Luiz;559;570;714;742;1576;1356;753;607;362;131;42;7412
140070 Uiramutã;1896;1756;1362;1013;1401;787;595;351;169;127;28;9485
150010 Abaetetuba;13306;13949;14402;16028;30030;23905;16298;10545;6679;3310;1402;149854
150013 Abel Figueiredo;676;731;722;748;1155;1140;779;578;340;159;74;7102
150020 Acará;6419;6180;5934;5780;9925;7020;5566;3404;2031;1129;468;53856
150030 Afuá;4600;4813;4838;4586;6611;4641;3165;1990;1117;649;244;37254
150034 Água Azul do Norte;1848;2317;2542;2309;5524;5229;3503;1711;802;339;78;26202
150040 Alenquer;6147;6552;6392;5993;8121;7714;5200;3815;2418;1515;582;54449
150050 Almeirim;4082;3760;3502;3574;5765;4645;3306;2539;1232;600;239;33244
150060 Altamira;10114;10837;11065;10950;19279;17348;12083;8604;4717;2135;832;107964
150070 Anajás;3763;4041;3683;3030;4862;3388;2072;1299;763;378;155;27434
150080 Ananindeua;38213;41208;44917;47001;91681;88722;67424;46114;25427;9218;3520;503445
150085 Anapu;3182;3035;2622;2559;4604;3780;2559;1699;902;307;71;25320
150090 Augusto Corrêa;5208;5358;5123;4678;7769;5720;3899;2756;1773;886;361;43531
150095 Aurora do Pará;2544;2893;3425;3175;5788;4530;3118;1930;1219;560;199;29381
150100 Aveiro;1888;1869;1926;1947;2401;1995;1431;1145;717;409;160;15888
150110 Bagre;3746;3677;3705;3465;5270;3762;2144;1199;794;294;127;28183
150120 Baião;3713;4789;5340;4633;8492;6835;4404;2702;1686;760;230;43584
150125 Bannach;303;346;310;316;446;502;402;308;209;88;25;3255
150130 Barcarena;11892;11452;11697;11606;22907;18899;12305;8280;4058;1568;668;115332
150140 Belém;102086;108521;116034;123255;244055;246258;197434;146348;88372;43082;18536;1433981
150145 Belterra;1493;1949;1914;1795;2446;2479;1775;1410;922;592;199;16974
150150 Benevides;4603;5630;5805;6014;10734;9882;7145;4655;2380;1114;446;58408
150157 Bom Jesus do Tocantins;1562;1460;1595;1656;2811;2450;1877;1308;896;384;162;16161
150160 Bonito;1729;1738;1458;1408;2822;2514;1588;961;588;296;117;15219
150170 Bragança;12187;12897;12554;11833;22719;17948;12797;8634;5341;2920;1229;121059
150172 Brasil Novo;1575;1364;1329;1434;2430;2231;1786;1360;807;452;158;14926
150175 Brejo Grande do Araguaia;719;783;710;705;1225;1054;731;622;379;198;74;7200
150178 Breu Branco;6657;6698;7282;6514;11516;9055;5648;3940;2394;990;289;60983
150180 Breves;11962;12294;13039;11320;16616;12735;8254;5592;3439;1656;941;97848
150190 Bujaru;2841;3438;3182;3018;4806;3787;2959;1669;1052;605;228;27585
150200 Cachoeira do Arari;2303;2272;2201;2187;4168;3326;2433;1655;937;603;276;22361
150195 Cachoeira do Piriá;3482;4407;4161;2989;5856;4357;3047;1687;797;306;89;31178
150210 Cametá;14254;14429;14871;13558;24917;18710;12063;7853;5435;2914;1361;130365
150215 Canaã dos Carajás;3884;3619;3387;3128;6723;5937;3597;1952;861;313;100;33501
150220 Capanema;5272;5943;6560;6104;11443;10825;7894;5668;3497;2081;810;66097
150230 Capitão Poço;4314;5386;5645;5637;9715;7752;6009;3831;2297;1375;529;52490
150240 Castanhal;16684;17619;17737;18019;36268;31379;22861;14663;8238;3972;1609;189049
150250 Chaves;3097;2966;2625;2342;3853;2825;2054;1304;824;423;163;22476
150260 Colares;1366;1209;1060;1145;1921;1475;1301;892;685;427;156;11637
150270 Conceição do Araguaia;3921;4205;4615;4797;6964;7010;5691;4133;2812;1518;549;46215
150275 Concórdia do Pará;3780;3607;3261;3242;6200;4416;3015;1653;1188;580;287;31229
150276 Cumaru do Norte;1369;1236;1169;1068;2031;2189;1630;1105;479;85;15;12376
150277 Curionópolis;1830;1681;1628;1750;3076;2429;1606;1740;1046;684;171;17641
150280 Curralinho;4553;4441;4179;3709;5602;4132;2395;1520;888;458;246;32123
150285 Curuá;1398;1874;1746;1372;2369;1860;1181;906;446;249;106;13507
150290 Curuçá;3029;3995;4062;3568;6428;5408;4063;3211;2069;1343;478;37654
150293 Dom Eliseu;5190;5923;6385;5581;10743;9368;5985;3936;2001;820;244;56176
150295 Eldorado do Carajás;3392;3502;3780;3138;5873;4534;3426;2651;1485;587;170;32538
150300 Faro;923;1025;724;782;1211;870;622;541;315;211;80;7304
150304 Floresta do Araguaia;1883;1964;1940;1878;3352;3112;2180;1534;833;394;118;19188
150307 Garrafão do Norte;2238;2918;2909;2922;4753;3509;2607;1582;1047;541;206;25232
150309 Goianésia do Pará;4004;3808;3901;3676;7422;6593;3758;2468;1441;622;135;37828
150310 Gurupá;3899;4094;4164;3554;5724;3999;2577;1720;1027;531;210;31499
150320 Igarapé-Açu;3068;3576;3516;3862;6871;5531;4230;3016;1947;1124;443;37184
150330 Igarapé-Miri;7234;6778;5859;5857;11328;8882;5725;3902;2493;1381;670;60109
150340 Inhangapi;917;1119;1190;1035;2150;1563;1246;883;528;262;121;11014
150345 Ipixuna do Pará;5018;6098;7418;6379;12374;9750;5999;2879;1730;540;149;58334
150350 Irituia;3108;3583;3528;3019;5230;4492;3399;2094;1765;893;424;31535
150360 Itaituba;8761;8927;10511;10794;18144;15065;10485;8356;4421;1956;646;98066
150370 Itupiranga;5918;5662;5898;5234;8881;7447;5030;3815;2305;1026;353;51569
150375 Jacareacanga;4779;5096;5519;3469;7503;5112;4418;3579;1207;485;162;41329
150380 Jacundá;5364;5596;5747;5488;11326;9033;6328;3506;1971;1048;378;55785
150390 Juruti;6524;6859;6632;5607;9943;7735;4522;2988;1682;840;456;53788
150400 Limoeiro do Ajuru;2909;3176;3344;3124;5347;3688;2522;1564;898;448;244;27264
150405 Mãe do Rio;2729;3111;3125;2847;5120;4257;3305;1993;1305;723;332;28847
150410 Magalhães Barata;782;919;850;850;1304;1151;795;639;526;303;131;8250
150420 Marabá;28270;27468;26412;23991;51000;43462;27356;18193;9273;4296;1350;261071
150430 Maracanã;2511;2922;2978;3099;4805;3844;2989;2354;1617;982;444;28545
150440 Marapanim;2161;2537;2683;2891;4522;3882;3056;2439;1609;1028;455;27263
150442 Marituba;10201;10930;11928;11531;23701;23208;15543;8628;4370;1741;658;122439
150445 Medicilândia;2624;3241;2998;2979;5456;4810;3444;2312;1236;507;166;29773
150450 Melgaço;4045;3708;3417;3092;4857;3300;1886;1023;561;242;166;26297
150460 Mocajuba;2754;3545;3684;3058;5419;3864;2916;1736;1234;794;282;29286
150470 Moju;9092;9299;8760;8197;14357;11195;7300;4578;2588;1214;503;77083
150475 Mojuí dos Campos;1428;1518;1622;1531;2661;2150;1730;1264;874;453;155;15386
150480 Monte Alegre;4550;5827;6126;6221;9037;8244;6183;4515;2958;1778;651;56090
150490 Muaná;4048;4589;4360;4029;7017;5642;3572;2330;1283;660;299;37829
150495 Nova Esperança do Piriá;2360;2461;2413;2329;3879;2971;1971;1139;721;277;64;20585
150497 Nova Ipixuna;1563;1688;1689;1624;2645;2459;1638;1244;803;313;109;15775
150500 Nova Timboteua;1049;1385;1404;1285;2377;2324;1829;1304;885;523;216;14581
150503 Novo Progresso;2900;2759;2851;2540;4507;3211;2752;2202;1013;240;59;25034
150506 Novo Repartimento;7927;8008;7824;7272;12510;10984;7029;4758;2869;1099;281;70561
150510 Óbidos;5795;6120;5523;5056;7333;7238;5197;3621;2421;1400;559;50263
150520 Oeiras do Pará;4107;4190;4119;3414;5104;4015;2650;1422;1028;457;258;30764
150530 Oriximiná;7773;8403;8408;7288;10996;10051;6378;4703;2791;1452;519;68762
150540 Ourém;1616;1745;1771;1776;2859;2549;1891;1277;865;490;208;17047
150543 Ourilândia do Norte;3551;3372;2922;3027;6479;5112;3348;1600;761;386;99;30657
150548 Pacajá;5395;4772;4593;4531;8039;6633;4581;3165;1862;821;217;44609
150549 Palestina do Pará;741;869;646;753;1197;1084;753;561;471;231;92;7398
150550 Paragominas;11094;11451;11955;10547;21071;17398;11348;6693;3356;1262;419;106594
150553 Parauapebas;20739;18901;18421;17412;43422;34539;18658;10854;4302;1480;460;189188
150555 Pau D'Arco;513;487;544;534;988;775;714;411;318;176;53;5513
150560 Peixe-Boi;575;723;815;719;1270;1182;905;739;477;305;132;7842
150563 Piçarra;1214;1230;1419;1271;2098;1925;1514;979;650;244;81;12625
150565 Placas;2994;3522;3149;2684;5154;4879;2686;1868;1040;383;64;28423
150570 Ponta de Pedras;3068;3424;3101;2854;5438;4161;2904;2141;1076;582;298;29047
150580 Portel;8586;8153;8273;6598;9690;7079;4236;2618;1693;798;334;58058
150590 Porto de Moz;6064;5163;4836;4460;7108;4590;2980;1654;837;441;190;38323
150600 Prainha;2966;3384;3788;3464;4866;3929;2844;2032;1043;592;180;29088
150610 Primavera;603;1007;1132;1044;1829;1530;1203;865;663;415;151;10442
150611 Quatipuru;787;1478;1436;1434;2142;2048;1375;1088;629;422;154;12993
150613 Redenção;7081;7303;8182;8216;14424;13070;9824;6591;3491;1800;498;80480
150616 Rio Maria;1363;1604;1739;1504;3107;2861;2254;1581;1017;491;150;17671
150618 Rondon do Pará;4365;4814;4877;4919;8798;8294;5980;4082;2272;1017;364;49782
150619 Rurópolis;4382;5196;5330;4526;8707;7635;4728;3233;1962;702;224;46625
150620 Salinópolis;3288;3623;3934;4018;7391;6024;4565;2949;1865;913;354;38924
150630 Salvaterra;2052;2203;2160;2280;4218;3175;2528;1753;1081;585;246;22281
150635 Santa Bárbara do Pará;1681;1797;2141;1932;3571;3016;2419;1475;959;408;172;19571
150640 Santa Cruz do Arari;869;850;839;996;1877;1591;1012;726;356;202;60;9378
150650 Santa Izabel do Pará;5193;5843;6071;6367;13474;11611;8168;4740;2846;1369;551;66233
150655 Santa Luzia do Pará;1633;1964;2218;2065;3608;2741;1946;1450;895;579;205;19304
150658 Santa Maria das Barreiras;1626;2001;2083;1866;2952;2986;2643;1964;1226;399;101;19847
150660 Santa Maria do Pará;1631;2401;2223;2279;4174;3748;3089;2025;1224;745;298;23837
150670 Santana do Araguaia;5905;6690;7710;6489;13314;12030;7247;4278;2212;720;179;66774
150680 Santarém;28862;30465;29910;29059;51737;44398;31006;22529;13181;7333;2906;291386
150690 Santarém Novo;684;589;672;736;1074;1005;634;420;336;191;68;6409
150700 Santo Antônio do Tauá;2868;2885;2894;2976;5322;4667;3210;2331;1414;694;252;29513
150710 São Caetano de Odivelas;1484;1664;1717;1720;3093;2537;1949;1394;982;627;184;17351
150715 São Domingos do Araguaia;2388;2618;2559;2520;3921;3750;2507;1708;1362;790;233;24356
150720 São Domingos do Capim;4106;3783;3795;3295;5096;4042;2838;1643;1237;616;279;30730
150730 São Félix do Xingu;6804;10620;12044;10353;25533;23625;15030;7412;3275;877;163;115736
150740 São Francisco do Pará;1244;1412;1489;1493;2542;2423;1738;1380;890;505;207;15323
150745 São Geraldo do Araguaia;2298;2298;2643;2483;4081;3858;2738;1916;1228;676;288;24507
150746 São João da Ponta;636;639;527;523;1018;801;611;479;268;180;91;5773
150747 São João de Pirabas;2005;2292;2203;2173;4019;3231;2171;1659;1163;700;295;21911
150750 São João do Araguaia;1524;1447;1429;1372;2177;1864;1410;1079;721;341;108;13472
150760 São Miguel do Guamá;5397;6125;6171;5759;10010;8349;5906;3763;2459;1174;613;55726
150770 São Sebastião da Boa Vista;3007;3127;2821;2593;4821;3416;2191;1509;843;490;243;25061
150775 Sapucaia;472;515;595;502;1059;845;737;486;245;91;22;5569
150780 Senador José Porfírio;1518;1325;1261;1234;1920;1639;1205;983;467;183;49;11784
150790 Soure;2390;2350;2208;2518;4309;3480;2757;1987;1195;753;242;24189
150795 Tailândia;8841;10681;11777;10620;21065;16890;8939;4476;2411;880;205;96785
150796 Terra Alta;987;1002;1150;1301;1870;1583;1339;824;569;326;129;11080
150797 Terra Santa;1487;1925;2102;1960;2987;2846;1761;1326;831;453;198;17876
150800 Tomé-Açu;7324;6821;6238;6277;10809;8920;6173;3705;2320;1200;434;60221
150803 Tracuateua;3236;3236;3105;3015;5266;4231;2859;2124;1244;731;305;29352
150805 Trairão;1899;1861;1713;1649;3574;3177;1735;1375;725;245;60;18013
150808 Tucumã;3903;3748;3306;3438;7314;6201;4134;2858;1486;619;156;37163
150810 Tucuruí;11406;11333;11531;10739;20487;17009;10614;7598;3882;1654;516;106769
150812 Ulianópolis;5435;5741;6360;5110;11227;9028;5239;3493;1513;429;95;53670
150815 Uruará;5311;4941;4557;4409;7778;7201;4393;2967;1713;813;230;44313
150820 Vigia;4475;5053;4777;4845;9560;8184;5704;3935;2528;1368;544;50973
150830 Viseu;7149;7409;7030;6145;10353;7826;5035;3652;2346;1373;508;58826
150835 Vitória do Xingu;1372;1252;1398;1389;2990;2419;1554;1003;588;298;85;14348
150840 Xinguara;3946;4125;4303;3973;7822;7017;5056;3421;1832;908;267;42670
160010 Amapá;679;1051;1149;934;1525;1270;873;579;329;166;65;8620
160020 Calçoene;1224;1231;1279;1012;1495;1374;1140;827;382;146;53;10163
160021 Cutias;645;762;685;618;939;666;484;342;162;71;31;5405
160023 Ferreira Gomes;768;882;857;735;1100;1003;665;452;287;112;38;6899
160025 Itaubal;464;697;678;557;824;657;461;329;165;101;19;4952
160027 Laranjal do Jari;4679;5460;5791;5218;8220;6564;4682;3053;1290;582;177;45716
160030 Macapá;45551;46101;49909;48126;85512;73413;51744;31070;15320;6651;2778;456175
160040 Mazagão;2245;2762;2762;2338;3208;2308;1730;1181;606;309;125;19574
160050 Oiapoque;3119;3069;2744;2531;4411;3542;2539;1505;566;168;68;24262
160015 Pedra Branca do Amapari;1594;1727;1758;1419;2546;1992;1448;852;454;153;45;13988
160053 Porto Grande;2101;2486;2473;2170;3279;2635;2113;1420;645;265;82;19669
160055 Pracuúba;632;689;654;432;670;613;405;210;145;57;25;4532
160060 Santana;10939;12269;12679;12178;21861;17084;11832;6922;3865;1874;717;112220
160005 Serra do Navio;409;628;661;535;800;754;523;392;172;46;19;4939
160070 Tartarugalzinho;1791;2091;2016;1679;2584;1693;1358;1071;635;208;88;15214
160080 Vitória do Jari;1663;1680;1780;1713;2635;2006;1341;847;431;188;80;14364
170025 Abreulândia;168;300;325;209;307;446;270;266;171;53;23;2538
170030 Aguiarnópolis;610;745;700;565;1149;1078;559;345;231;120;51;6153
170035 Aliança do Tocantins;337;472;523;521;854;855;720;557;420;229;113;5601
170040 Almas;843;673;771;837;1118;936;849;624;415;232;110;7408
170070 Alvorada;532;810;812;755;1387;1364;1167;777;527;281;121;8533
170100 Ananás;972;937;1012;1062;1496;1495;1183;702;520;335;132;9846
170105 Angico;273;326;356;286;563;475;438;296;189;123;55;3380
170110 Aparecida do Rio Negro;516;497;425;418;591;772;526;376;288;155;56;4620
170130 Aragominas;491;586;543;498;820;875;780;642;454;159;61;5909
170190 Araguacema;446;682;737;656;1151;916;880;729;388;191;88;6864
